week,n,hosp_n,death_n,week_end_date
10,13,6,2,2020-03-07
11,91,41,8,2020-03-14
12,695,204,50,2020-03-21
13,3290,801,215,2020-03-28
14,7615,1826,410,2020-04-04
15,7383,1591,418,2020-04-11
16,6354,1340,449,2020-04-18
17,5865,1113,412,2020-04-25
18,4507,946,339,2020-05-02
19,4448,742,267,2020-05-09
20,5069,912,326,2020-05-16
21,5021,916,262,2020-05-23
22,5480,796,207,2020-05-30
23,7528,843,231,2020-06-06
24,11448,1071,282,2020-06-13
25,21723,1436,376,2020-06-20
26,43979,2183,773,2020-06-27
27,58353,3014,1090,2020-07-04
28,69473,3713,1650,2020-07-11
29,79357,4312,1908,2020-07-18
30,73357,3721,1583,2020-07-25
31,62821,3285,1367,2020-08-01
32,45480,2432,1123,2020-08-08
33,40612,2100,1001,2020-08-15
34,27351,1691,769,2020-08-22
35,20770,1358,532,2020-08-29
36,24853,1272,522,2020-09-05
37,17941,1029,432,2020-09-12
38,19960,1031,408,2020-09-19
39,16894,894,312,2020-09-26
40,16428,1014,352,2020-10-03
41,18034,1043,354,2020-10-10
42,20593,1006,314,2020-10-17
43,23759,949,339,2020-10-24
44,30830,1254,434,2020-10-31
45,34449,1263,463,2020-11-07
46,41263,1521,574,2020-11-14
47,53207,1654,697,2020-11-21
48,53778,1598,649,2020-11-28
49,65387,1861,836,2020-12-05
50,67891,1878,936,2020-12-12
51,75630,2133,1082,2020-12-19
52,69873,2086,1108,2020-12-26
53,93492,2620,1470,2021-01-02
54,112029,2697,1490,2021-01-09
55,94482,2611,1357,2021-01-16
56,77942,2241,1137,2021-01-23
57,71979,2048,1005,2021-01-30
58,55818,1653,722,2021-02-06
59,49402,1537,603,2021-02-13
60,42146,1395,472,2021-02-20
61,40214,1246,451,2021-02-27
62,34622,1146,354,2021-03-06
63,32263,1072,313,2021-03-13
64,32694,980,262,2021-03-20
65,36283,1020,291,2021-03-27
66,38506,990,264,2021-04-03
